type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheight,desc,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,dir
WAYPOINT,ONElee08D,-17.01366,-149.59049,-17.01366,-149.59049,2023-10-13T10:00,,Flag, Blue,,,,,,,2023/10/13 10:00:18+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,13/10/2023 11:00,,,,,,,,,,
WAYPOINT,REIlee02D,-17.046255,-149.547994,-17.046255,-149.547994,2023-09-28T02:34,,Flag, Blue,,,,6.30804,,,2023/09/28 02:34:12+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 03:34,,,,,,,,,,
WAYPOINT,REIlee02C,-17.046307,-149.54791,-17.046307,-149.54791,2023-09-28T02:27,,Flag, Blue,,,,6.481689,,,2023/09/28 02:27:09+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 03:27,,,,,,,,,,
WAYPOINT,REIlee02B,-17.046336,-149.547836,-17.046336,-149.547836,2023-09-28T02:25,,Flag, Blue,,,,8.926112,,,2023/09/28 02:25:06+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 03:25,,,,,,,,,,
WAYPOINT,REIlee02A,-17.046359,-149.547759,-17.046359,-149.547759,2023-09-28T02:20,,Flag, Blue,,,,3.196176,,,2023/09/28 02:20:36+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 03:20,,,,,,,,,,
WAYPOINT,REIlee01D,-17.046849,-149.547922,-17.046849,-149.547922,2023-09-28T01:50,,Flag, Blue,,,,6.147659,,,2023/09/28 01:50:43+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 02:50,,,,,,,,,,
WAYPOINT,REIlee01C,-17.046878,-149.547819,-17.046878,-149.547819,2023-09-28T01:45,,Flag, Blue,,,,9.020536,,,2023/09/28 01:45:31+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 02:45,,,,,,,,,,
WAYPOINT,REIlee01B,-17.04687,-149.54778,-17.04687,-149.54778,2023-09-28T01:42,,Flag, Blue,,,,8.828831,,,2023/09/28 01:42:36+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 02:42,,,,,,,,,,
WAYPOINT,REIlee01A,-17.046861,-149.547659,-17.046861,-149.547659,2023-09-28T01:39,,Flag, Blue,,,,9.263881,,,2023/09/28 01:39:09+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 02:39,,,,,,,,,,
WAYPOINT,AIElee03D,-17.009065,-149.536015,-17.009065,-149.536015,2023-09-28T00:04,,Flag, Blue,,,,9.100598,,,2023/09/28 00:04:10+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 01:04,,,,,,,,,,
WAYPOINT,AIElee03C,-17.008995,-149.535992,-17.008995,-149.535992,2023-09-28T00:00,,Flag, Blue,,,,10.851159,,,2023/09/28 00:00:53+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 01:00,,,,,,,,,,
WAYPOINT,AIElee03B,-17.008919,-149.535944,-17.008919,-149.535944,2023-09-27T23:55,,Flag, Blue,,,,9.472881,,,2023/09/27 23:55:47+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 00:55,,,,,,,,,,
WAYPOINT,AIElee03A,-17.00886,-149.535885,-17.00886,-149.535885,2023-09-27T23:50,,Flag, Blue,,,,2.094168,,,2023/09/27 23:50:53+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 00:50,,,,,,,,,,
WAYPOINT,AIElee02D,-17.009296,-149.535668,-17.009296,-149.535668,2023-09-27T23:28,,Flag, Blue,,,,8.983061,,,2023/09/27 23:28:56+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 00:28,,,,,,,,,,
WAYPOINT,AIElee02C,-17.009196,-149.535659,-17.009196,-149.535659,2023-09-27T23:23,,Flag, Blue,,,,6.979037,,,2023/09/27 23:23:22+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 00:23,,,,,,,,,,
WAYPOINT,AIElee02B,-17.009127,-149.535625,-17.009127,-149.535625,2023-09-27T23:18,,Flag, Blue,,,,11.881117,,,2023/09/27 23:18:40+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 00:18,,,,,,,,,,
WAYPOINT,AIElee02A,-17.009053,-149.53564,-17.009053,-149.53564,2023-09-27T23:15,,Flag, Blue,,,,10.370744,,,2023/09/27 23:15:41+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 00:15,,,,,,,,,,
WAYPOINT,AIElee01D,-17.00936,-149.535614,-17.00936,-149.535614,2023-09-27T22:54,,Flag, Blue,,,,14.952332,,,2023/09/27 22:54:50+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 23:54,,,,,,,,,,
WAYPOINT,AIElee01C,-17.009284,-149.535585,-17.009284,-149.535585,2023-09-27T22:49,,Flag, Blue,,,,9.323466,,,2023/09/27 22:49:04+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 23:49,,,,,,,,,,
WAYPOINT,AIElee01B,-17.009195,-149.53551,-17.009195,-149.53551,2023-09-27T22:45,,Flag, Blue,,,,10.17932,,,2023/09/27 22:45:12+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 23:45,,,,,,,,,,
WAYPOINT,AIElee01A,-17.00912,-149.535584,-17.00912,-149.535584,2023-09-27T22:40,,Flag, Blue,,,,8.365392,,,2023/09/27 22:40:22+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 23:40,,,,,,,,,,
WAYPOINT,AIEwind01D,-17.007514,-149.536205,-17.007514,-149.536205,2023-09-27T21:16,,Flag, Blue,,,,5.876258,,,2023/09/27 21:16:49+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 22:16,,,,,,,,,,
WAYPOINT,AIEwind01C,-17.007613,-149.536219,-17.007613,-149.536219,2023-09-27T21:09,,Flag, Blue,,,,11.487518,,,2023/09/27 21:09:41+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 22:09,,,,,,,,,,
WAYPOINT,AIEwind01B,-17.007696,-149.536187,-17.007696,-149.536187,2023-09-27T21:03,,Flag, Blue,,,,10.581599,,,2023/09/27 21:03:23+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 22:03,,,,,,,,,,
WAYPOINT,AIEwind01A,-17.007785,-149.536166,-17.007785,-149.536166,2023-09-27T20:56,,Flag, Blue,,,,14.409029,,,2023/09/27 20:56:57+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 21:56,,,,,,,,,,
WAYPOINT,AIEwind02D,-17.007469,-149.536126,-17.007469,-149.536126,2023-09-27T20:35,,Flag, Blue,,,,8.805938,,,2023/09/27 20:35:08+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 21:35,,,,,,,,,,
WAYPOINT,AIEwind02C,-17.007588,-149.536079,-17.007588,-149.536079,2023-09-27T20:29,,Flag, Blue,,,,8.465217,,,2023/09/27 20:29:59+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 21:29,,,,,,,,,,
WAYPOINT,AIEwind02B,-17.007677,-149.536097,-17.007677,-149.536097,2023-09-27T20:25,,Flag, Blue,,,,7.898025,,,2023/09/27 20:25:10+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 21:25,,,,,,,,,,
WAYPOINT,AIEwind02A,-17.007735,-149.536017,-17.007735,-149.536017,2023-09-27T20:18,,Flag, Blue,,,,8.726075,,,2023/09/27 20:18:47+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 21:18,,,,,,,,,,
WAYPOINT,AIEwind03D,-17.007595,-149.535844,-17.007595,-149.535844,2023-09-27T19:54,,Flag, Blue,,,,13.553432,,,2023/09/27 19:54:11+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 20:54,,,,,,,,,,
WAYPOINT,AIEwind03C,-17.007617,-149.535806,-17.007617,-149.535806,2023-09-27T19:47,,Flag, Blue,,,,18.658396,,,2023/09/27 19:47:36+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 20:47,,,,,,,,,,
WAYPOINT,AIEwind03B,-17.007646,-149.53572,-17.007646,-149.53572,2023-09-27T19:40,,Flag, Blue,,,,13.997293,,,2023/09/27 19:40:10+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 20:40,,,,,,,,,,
WAYPOINT,AIEwind03A,-17.007721,-149.535739,-17.007721,-149.535739,2023-09-27T19:31,,Flag, Blue,,,,7.168654,,,2023/09/27 19:31:46+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 20:31,,,,,,,,,,
WAYPOINT,REIlee03D,-17.04522,-149.548048,-17.04522,-149.548048,2023-09-27T02:23,,Flag, Blue,,,,13.6705,,,2023/09/27 02:23:27+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 03:23,,,,,,,,,,
WAYPOINT,REIlee03C,-17.045233,-149.547959,-17.045233,-149.547959,2023-09-27T02:20,,Flag, Blue,,,,14.819883,,,2023/09/27 02:20:06+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 03:20,,,,,,,,,,
WAYPOINT,REIlee03B,-17.04522,-149.547876,-17.04522,-149.547876,2023-09-27T02:18,,Flag, Blue,,,,15.205827,,,2023/09/27 02:18:22+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 03:18,,,,,,,,,,
WAYPOINT,REIlee03A,-17.045212,-149.547781,-17.045212,-149.547781,2023-09-27T02:13,,Flag, Blue,,,,14.654405,,,2023/09/27 02:13:13+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 03:13,,,,,,,,,,
WAYPOINT,REIwind03D,-17.04486,-149.544062,-17.04486,-149.544062,2023-09-27T00:54,,Flag, Blue,,,,9.399944,,,2023/09/27 00:54:44+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 01:54,,,,,,,,,,
WAYPOINT,REIwind03C,-17.044882,-149.544159,-17.044882,-149.544159,2023-09-27T00:51,,Flag, Blue,,,,3.077742,,,2023/09/27 00:51:54+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 01:51,,,,,,,,,,
WAYPOINT,REIwind03B,-17.044928,-149.544282,-17.044928,-149.544282,2023-09-27T00:49,,Flag, Blue,,,,10.967987,,,2023/09/27 00:49:29+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 01:49,,,,,,,,,,
WAYPOINT,REIwind03A,-17.044909,-149.544315,-17.044909,-149.544315,2023-09-27T00:44,,Flag, Blue,,,,6.27096,,,2023/09/27 00:44:28+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 01:44,,,,,,,,,,
WAYPOINT,REIwind02D,-17.045011,-149.544021,-17.045011,-149.544021,2023-09-27T00:16,,Flag, Blue,,,,14.406513,,,2023/09/27 00:16:05+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 01:16,,,,,,,,,,
WAYPOINT,REIwind02C,-17.045043,-149.54411,-17.045043,-149.54411,2023-09-27T00:13,,Flag, Blue,,,,18.876265,,,2023/09/27 00:13:06+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 01:13,,,,,,,,,,
WAYPOINT,REIwind02B,-17.045064,-149.544188,-17.045064,-149.544188,2023-09-27T00:10,,Flag, Blue,,,,16.569187,,,2023/09/27 00:10:02+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 01:10,,,,,,,,,,
WAYPOINT,REIwind02A,-17.045065,-149.54429,-17.045065,-149.54429,2023-09-27T00:01,,Flag, Blue,,,,16.698624,,,2023/09/27 00:01:57+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 01:01,,,,,,,,,,
WAYPOINT,REIwind01D,-17.04557,-149.543754,-17.04557,-149.543754,2023-09-26T23:33,,Flag, Blue,,,,10.773849,,,2023/09/26 23:33:46+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 00:33,,,,,,,,,,
WAYPOINT,REIwind01C,-17.045599,-149.54386,-17.045599,-149.54386,2023-09-26T23:29,,Flag, Blue,,,,5.07231,,,2023/09/26 23:29:46+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 00:29,,,,,,,,,,
WAYPOINT,REIwind01B,-17.045625,-149.543945,-17.045625,-149.543945,2023-09-26T23:15,,Flag, Blue,,,,8.869968,,,2023/09/26 23:15:55+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 00:15,,,,,,,,,,
WAYPOINT,REIwind01A,-17.045619,-149.544018,-17.045619,-149.544018,2023-09-26T23:10,,Flag, Blue,,,,10.84909,,,2023/09/26 23:10:00+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,27/09/2023 00:10,,,,,,,,,,
WAYPOINT,RIMwind03D,-17.032947,-149.555476,-17.032947,-149.555476,2023-09-26T21:11,,Flag, Blue,,,,12.342885,,,2023/09/26 21:11:10+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 22:11,,,,,,,,,,
WAYPOINT,RIMwind03C,-17.032908,-149.55556,-17.032908,-149.55556,2023-09-26T21:06,,Flag, Blue,,,,23.338444,,,2023/09/26 21:06:47+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 22:06,,,,,,,,,,
WAYPOINT,RIMwind03B,-17.032877,-149.555682,-17.032877,-149.555682,2023-09-26T21:01,,Flag, Blue,,,,15.613805,,,2023/09/26 21:01:30+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 22:01,,,,,,,,,,
WAYPOINT,RIMwind03A,-17.032819,-149.555737,-17.032819,-149.555737,2023-09-26T20:54,,Flag, Blue,,,,7.202083,,,2023/09/26 20:54:53+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 21:54,,,,,,,,,,
WAYPOINT,RIMwind02D,-17.03323,-149.555776,-17.03323,-149.555776,2023-09-26T20:33,,Flag, Blue,,,,10.937834,,,2023/09/26 20:33:13+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 21:33,,,,,,,,,,
WAYPOINT,RIMwind02C,-17.033146,-149.555833,-17.033146,-149.555833,2023-09-26T20:28,,Flag, Blue,,,,13.366735,,,2023/09/26 20:28:12+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 21:28,,,,,,,,,,
WAYPOINT,RIMwind02B,-17.033082,-149.555904,-17.033082,-149.555904,2023-09-26T20:23,,Flag, Blue,,,,3.06234,,,2023/09/26 20:23:21+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 21:23,,,,,,,,,,
WAYPOINT,RIMwind02A,-17.033016,-149.555973,-17.033016,-149.555973,2023-09-26T20:18,,Flag, Blue,,,,9.037781,,,2023/09/26 20:18:19+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 21:18,,,,,,,,,,
WAYPOINT,RIMwind01D,-17.033329,-149.555963,-17.033329,-149.555963,2023-09-26T19:50,,Flag, Blue,,,,15.254504,,,2023/09/26 19:50:05+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 20:50,,,,,,,,,,
WAYPOINT,RIMwind01C,-17.03326,-149.556081,-17.03326,-149.556081,2023-09-26T19:45,,Flag, Blue,,,,3.820721,,,2023/09/26 19:45:40+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 20:45,,,,,,,,,,
WAYPOINT,RIMwind01B,-17.03321,-149.5561,-17.03321,-149.5561,2023-09-26T19:36,,Flag, Blue,,,,17.002665,,,2023/09/26 19:36:50+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 20:36,,,,,,,,,,
WAYPOINT,RIMwind01A,-17.033162,-149.556166,-17.033162,-149.556166,2023-09-26T19:30,,Flag, Blue,,,,14.214493,,,2023/09/26 19:30:31+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 20:30,,,,,,,,,,
WAYPOINT,ONElee11D,-17.015074,-149.592974,-17.015074,-149.592974,2023-09-26T02:18,,Flag, Blue,,,,14.009008,,,2023/09/26 02:18:20+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 03:18,,,,,,,,,,
WAYPOINT,ONElee11C,-17.015142,-149.592917,-17.015142,-149.592917,2023-09-26T02:09,,Flag, Blue,,,,9.991,,,2023/09/26 02:09:20+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 03:09,,,,,,,,,,
WAYPOINT,ONElee11B,-17.015215,-149.592898,-17.015215,-149.592898,2023-09-26T02:06,,Flag, Blue,,,,12.2253,,,2023/09/26 02:06:52+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 03:06,,,,,,,,,,
WAYPOINT,ONElee11A,-17.015247,-149.592816,-17.015247,-149.592816,2023-09-26T02:01,,Flag, Blue,,,,9.980761,,,2023/09/26 02:01:28+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 03:01,,,,,,,,,,
WAYPOINT,OUTFLOW,-17.013733,-149.589583,-17.013733,-149.589583,2023-09-26T01:37,,Flag, Blue,,,,13.558043,,,2023/09/26 01:37:51+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 02:37,,,,,,,,,,
WAYPOINT,ONElee10D,-17.01406,-149.591481,-17.01406,-149.591481,2023-09-26T01:11,,Flag, Blue,,,,1.690817,,,2023/09/26 01:11:55+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 02:11,,,,,,,,,,
WAYPOINT,ONElee10C,-17.014182,-149.591503,-17.014182,-149.591503,2023-09-26T01:09,,Flag, Blue,,,,7.570765,,,2023/09/26 01:09:12+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 02:09,,,,,,,,,,
WAYPOINT,ONElee10B,-17.014239,-149.591407,-17.014239,-149.591407,2023-09-26T01:04,,Flag, Blue,,,,3.646297,,,2023/09/26 01:04:03+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,26/09/2023 02:04,,,,,,,,,,
